name,active,description,account_username,leader_id
Amateur Radio Society,True,Amateur Radio Society is a student-led organization at Stark State College.,amateur_radio_society,S1006
Association for Medical Laboratory Technicians (AMLT),True,Association for Medical Laboratory Technicians (AMLT) is a student-led organization at Stark State College.,association_for_medical_labora,S1012
Beta Beta Beta (Tri Beta) Biological Honor Society,True,Beta Beta Beta (Tri Beta) Biological Honor Society is a student-led organization at Stark State College.,beta_beta_beta_tri_beta_biolog,S1028
Between the Covers Book Club,True,Between the Covers Book Club is a student-led organization at Stark State College.,between_the_covers_book_club,S1030
Chemistry Club (Stark State College Student Chapter of the American Chemical Society),True,Chemistry Club (Stark State College Student Chapter of the American Chemical Society) is a student-led organization at Stark State College.,chemistry_club_stark_state_col,S1014
Comic Book Club,True,Comic Book Club is a student-led organization at Stark State College.,comic_book_club,S1026
"Cranberries, Baby! (Sketch Comedy Troupe)",True,"Cranberries, Baby! (Sketch Comedy Troupe) is a student-led organization at Stark State College.","cranberries,_baby!_sketch_come",S1010
Criminal Justice Student Association,True,Criminal Justice Student Association is a student-led organization at Stark State College.,criminal_justice_student_assoc,S1003
CRU (Campus Crusade for Christ),True,CRU (Campus Crusade for Christ) is a student-led organization at Stark State College.,cru_campus_crusade_for_christ,S1009
Culinary Club (Epicurean Society),True,Culinary Club (Epicurean Society) is a student-led organization at Stark State College.,culinary_club_epicurean_societ,S1035
Education Club,True,Education Club is a student-led organization at Stark State College.,education_club,S1035
High Technology Crime Investigation Association (HTCIA),True,High Technology Crime Investigation Association (HTCIA) is a student-led organization at Stark State College.,high_technology_crime_investig,S1015
Human and Social Services Student Association,True,Human and Social Services Student Association is a student-led organization at Stark State College.,human_and_social_services_stud,S1001
Institute of Electrical and Electronic Engineers (IEEE),True,Institute of Electrical and Electronic Engineers (IEEE) is a student-led organization at Stark State College.,institute_of_electrical_and_el,S1018
Institute of Management Accountants (IMA),True,Institute of Management Accountants (IMA) is a student-led organization at Stark State College.,institute_of_management_accoun,S1002
Math Club,True,Math Club is a student-led organization at Stark State College.,math_club,S1026
National Association of Black Accountants & Black Business Leaders (NABA),True,National Association of Black Accountants & Black Business Leaders (NABA) is a student-led organization at Stark State College.,national_association_of_black_,S1031
National Electrical Contractors Association (NECA),True,National Electrical Contractors Association (NECA) is a student-led organization at Stark State College.,national_electrical_contractor,S1030
Outdoor Adventure Club,True,Outdoor Adventure Club is a student-led organization at Stark State College.,outdoor_adventure_club,S1024
Phi Theta Kappa Honor Society,True,Phi Theta Kappa Honor Society is a student-led organization at Stark State College.,phi_theta_kappa_honor_society,S1013
Physics and Astronomy Club,True,Physics and Astronomy Club is a student-led organization at Stark State College.,physics_and_astronomy_club,S1033
Psi Beta Psychology Honors Chapter,True,Psi Beta Psychology Honors Chapter is a student-led organization at Stark State College.,psi_beta_psychology_honors_cha,S1031
Respiratory Therapy Club,True,Respiratory Therapy Club is a student-led organization at Stark State College.,respiratory_therapy_club,S1009
Software Development Guild,True,Software Development Guild is a student-led organization at Stark State College.,software_development_guild,S1030
Stark Communication Society,True,Stark Communication Society is a student-led organization at Stark State College.,stark_communication_society,S1012
Stark Raving Writers,True,Stark Raving Writers is a student-led organization at Stark State College.,stark_raving_writers,S1029
Stark State College Association of Medical Assistants,True,Stark State College Association of Medical Assistants is a student-led organization at Stark State College.,stark_state_college_associatio,S1015
Stark Voices – Student Publication/Newspaper,True,Stark Voices – Student Publication/Newspaper is a student-led organization at Stark State College.,stark_voices_–_student_publica,S1004
Student Ambassador Program,True,Student Ambassador Program is a student-led organization at Stark State College.,student_ambassador_program,S1026
Student American Dental Hygienist Association (SADHA),True,Student American Dental Hygienist Association (SADHA) is a student-led organization at Stark State College.,student_american_dental_hygien,S1012
Student Government Association/InterClub Council,True,Student Government Association/InterClub Council is a student-led organization at Stark State College.,student_government_association,S1032
Student Health Information Management Association (SHIMA),True,Student Health Information Management Association (SHIMA) is a student-led organization at Stark State College.,student_health_information_man,S1005
Student Nurse Association (SNA),True,Student Nurse Association (SNA) is a student-led organization at Stark State College.,student_nurse_association_sna,S1010
Student Occupational Therapy Assistant Club (SOTA),True,Student Occupational Therapy Assistant Club (SOTA) is a student-led organization at Stark State College.,student_occupational_therapy_a,S1009
Student Physical Therapist Assistant Club (SPTA),True,Student Physical Therapist Assistant Club (SPTA) is a student-led organization at Stark State College.,student_physical_therapist_ass,S1005
