id,club_id,name,date,time,description,expected_attendance
1,11,Community Outreach with Amateur,2022-10-19,10:30,A great opportunity for students to engage with Amateur Radio Society.,11
2,11,Hackathon with Amateur,2022-12-21,10:00,A great opportunity for students to engage with Amateur Radio Society.,6
3,11,Speaker Night with Amateur,2023-07-28,16:30,A great opportunity for students to engage with Amateur Radio Society.,20
4,11,Fundraiser with Amateur,2024-04-05,10:30,A great opportunity for students to engage with Amateur Radio Society.,9
5,11,Community Outreach with Amateur,2026-04-14,10:00,A great opportunity for students to engage with Amateur Radio Society.,27
6,12,Guest Lecture with Association,2022-02-08,12:30,A great opportunity for students to engage with Association for Medical Laboratory Technicians (AMLT).,26
7,12,Hackathon with Association,2022-08-10,10:30,A great opportunity for students to engage with Association for Medical Laboratory Technicians (AMLT).,20
8,12,Fundraiser with Association,2023-07-05,10:30,A great opportunity for students to engage with Association for Medical Laboratory Technicians (AMLT).,32
9,12,Social with Association,2023-08-05,16:30,A great opportunity for students to engage with Association for Medical Laboratory Technicians (AMLT).,6
10,12,Game Night with Association,2023-08-16,17:30,A great opportunity for students to engage with Association for Medical Laboratory Technicians (AMLT).,25
11,12,Community Outreach with Association,2023-09-11,17:00,A great opportunity for students to engage with Association for Medical Laboratory Technicians (AMLT).,13
12,12,Fundraiser with Association,2023-11-26,16:30,A great opportunity for students to engage with Association for Medical Laboratory Technicians (AMLT).,10
13,12,Workshop with Association,2024-01-07,18:00,A great opportunity for students to engage with Association for Medical Laboratory Technicians (AMLT).,28
14,12,Meet & Greet with Association,2024-04-27,12:00,A great opportunity for students to engage with Association for Medical Laboratory Technicians (AMLT).,4
15,12,Fundraiser with Association,2024-05-30,14:00,A great opportunity for students to engage with Association for Medical Laboratory Technicians (AMLT).,22
16,12,Fundraiser with Association,2024-10-26,15:30,A great opportunity for students to engage with Association for Medical Laboratory Technicians (AMLT).,18
17,12,Speaker Night with Association,2024-10-29,10:30,A great opportunity for students to engage with Association for Medical Laboratory Technicians (AMLT).,12
18,12,Game Night with Association,2024-12-23,15:30,A great opportunity for students to engage with Association for Medical Laboratory Technicians (AMLT).,17
19,12,Speaker Night with Association,2025-02-01,10:30,A great opportunity for students to engage with Association for Medical Laboratory Technicians (AMLT).,8
20,12,Study Session with Association,2025-04-11,10:00,A great opportunity for students to engage with Association for Medical Laboratory Technicians (AMLT).,6
21,12,Study Session with Association,2025-04-28,12:30,A great opportunity for students to engage with Association for Medical Laboratory Technicians (AMLT).,14
22,12,Community Outreach with Association,2025-05-22,10:00,A great opportunity for students to engage with Association for Medical Laboratory Technicians (AMLT).,29
23,12,Meet & Greet with Association,2026-06-18,15:00,A great opportunity for students to engage with Association for Medical Laboratory Technicians (AMLT).,30
24,13,Hackathon with Beta,2022-06-03,11:30,A great opportunity for students to engage with Beta Beta Beta (Tri Beta) Biological Honor Society.,27
25,13,Guest Lecture with Beta,2022-10-08,10:30,A great opportunity for students to engage with Beta Beta Beta (Tri Beta) Biological Honor Society.,14
26,13,Game Night with Beta,2022-10-22,18:30,A great opportunity for students to engage with Beta Beta Beta (Tri Beta) Biological Honor Society.,28
27,13,Guest Lecture with Beta,2023-01-13,17:30,A great opportunity for students to engage with Beta Beta Beta (Tri Beta) Biological Honor Society.,17
28,13,Fundraiser with Beta,2023-03-15,14:00,A great opportunity for students to engage with Beta Beta Beta (Tri Beta) Biological Honor Society.,7
29,13,Study Session with Beta,2023-03-18,10:30,A great opportunity for students to engage with Beta Beta Beta (Tri Beta) Biological Honor Society.,14
30,13,Speaker Night with Beta,2023-09-24,18:30,A great opportunity for students to engage with Beta Beta Beta (Tri Beta) Biological Honor Society.,8
31,13,Fundraiser with Beta,2023-12-29,13:00,A great opportunity for students to engage with Beta Beta Beta (Tri Beta) Biological Honor Society.,10
32,13,Workshop with Beta,2024-07-13,15:00,A great opportunity for students to engage with Beta Beta Beta (Tri Beta) Biological Honor Society.,20
33,13,Social with Beta,2024-09-20,14:00,A great opportunity for students to engage with Beta Beta Beta (Tri Beta) Biological Honor Society.,22
34,13,Game Night with Beta,2025-01-10,11:00,A great opportunity for students to engage with Beta Beta Beta (Tri Beta) Biological Honor Society.,25
35,13,Community Outreach with Beta,2025-05-08,15:30,A great opportunity for students to engage with Beta Beta Beta (Tri Beta) Biological Honor Society.,29
36,13,Game Night with Beta,2025-11-22,15:30,A great opportunity for students to engage with Beta Beta Beta (Tri Beta) Biological Honor Society.,7
37,13,Speaker Night with Beta,2025-12-15,17:00,A great opportunity for students to engage with Beta Beta Beta (Tri Beta) Biological Honor Society.,7
38,13,Guest Lecture with Beta,2026-04-02,14:00,A great opportunity for students to engage with Beta Beta Beta (Tri Beta) Biological Honor Society.,5
39,14,Hackathon with Between,2022-08-28,10:30,A great opportunity for students to engage with Between the Covers Book Club.,8
40,14,Guest Lecture with Between,2023-03-06,12:30,A great opportunity for students to engage with Between the Covers Book Club.,29
41,14,Study Session with Between,2023-04-16,10:30,A great opportunity for students to engage with Between the Covers Book Club.,18
42,14,Meet & Greet with Between,2023-07-27,18:00,A great opportunity for students to engage with Between the Covers Book Club.,34
43,14,Workshop with Between,2023-07-31,10:30,A great opportunity for students to engage with Between the Covers Book Club.,11
44,14,Game Night with Between,2024-04-09,10:00,A great opportunity for students to engage with Between the Covers Book Club.,26
45,14,Fundraiser with Between,2024-08-19,11:00,A great opportunity for students to engage with Between the Covers Book Club.,21
46,14,Fundraiser with Between,2024-10-18,15:00,A great opportunity for students to engage with Between the Covers Book Club.,9
47,14,Workshop with Between,2025-03-07,11:00,A great opportunity for students to engage with Between the Covers Book Club.,24
48,14,Community Outreach with Between,2025-10-28,16:30,A great opportunity for students to engage with Between the Covers Book Club.,28
49,14,Game Night with Between,2025-11-15,17:00,A great opportunity for students to engage with Between the Covers Book Club.,5
50,14,Guest Lecture with Between,2025-12-31,16:30,A great opportunity for students to engage with Between the Covers Book Club.,4
51,15,Meet & Greet with Chemistry,2024-02-02,12:00,A great opportunity for students to engage with Chemistry Club (Stark State College Student Chapter of the American Chemical Society).,23
52,15,Workshop with Chemistry,2024-03-26,13:00,A great opportunity for students to engage with Chemistry Club (Stark State College Student Chapter of the American Chemical Society).,25
53,15,Fundraiser with Chemistry,2024-06-26,10:30,A great opportunity for students to engage with Chemistry Club (Stark State College Student Chapter of the American Chemical Society).,26
54,15,Speaker Night with Chemistry,2024-12-26,15:00,A great opportunity for students to engage with Chemistry Club (Stark State College Student Chapter of the American Chemical Society).,18
55,15,Workshop with Chemistry,2025-04-04,15:00,A great opportunity for students to engage with Chemistry Club (Stark State College Student Chapter of the American Chemical Society).,18
56,15,Speaker Night with Chemistry,2025-04-27,15:30,A great opportunity for students to engage with Chemistry Club (Stark State College Student Chapter of the American Chemical Society).,23
57,15,Game Night with Chemistry,2025-12-02,16:30,A great opportunity for students to engage with Chemistry Club (Stark State College Student Chapter of the American Chemical Society).,20
58,15,Meet & Greet with Chemistry,2025-12-23,17:00,A great opportunity for students to engage with Chemistry Club (Stark State College Student Chapter of the American Chemical Society).,27
59,16,Fundraiser with Comic,2022-05-03,16:30,A great opportunity for students to engage with Comic Book Club.,28
60,16,Fundraiser with Comic,2022-09-13,14:00,A great opportunity for students to engage with Comic Book Club.,29
61,16,Community Outreach with Comic,2022-10-05,15:00,A great opportunity for students to engage with Comic Book Club.,22
62,16,Social with Comic,2023-12-22,12:00,A great opportunity for students to engage with Comic Book Club.,6
63,16,Study Session with Comic,2024-05-05,15:30,A great opportunity for students to engage with Comic Book Club.,21
64,16,Fundraiser with Comic,2025-01-31,16:30,A great opportunity for students to engage with Comic Book Club.,14
65,16,Speaker Night with Comic,2025-03-22,13:30,A great opportunity for students to engage with Comic Book Club.,5
66,16,Meet & Greet with Comic,2025-08-16,14:30,A great opportunity for students to engage with Comic Book Club.,18
67,16,Meet & Greet with Comic,2025-08-27,16:00,A great opportunity for students to engage with Comic Book Club.,29
68,16,Game Night with Comic,2025-09-20,10:30,A great opportunity for students to engage with Comic Book Club.,30
69,16,Guest Lecture with Comic,2025-10-04,11:30,A great opportunity for students to engage with Comic Book Club.,8
70,17,"Meet & Greet with Cranberries,",2022-08-08,11:00,"A great opportunity for students to engage with Cranberries, Baby! (Sketch Comedy Troupe).",25
