id,student,event
7100,00105189,262
7099,00105255,262
7098,00105255,505
7097,00101084,514
7096,00103590,514
7095,00101017,514
7094,00101168,514
7093,00103572,514
7092,00103828,514
7091,00103407,514
7090,00100615,513
7089,00101973,513
7088,00104594,513
7087,00100414,512
7086,00101168,512
7085,00103590,512
7084,00104203,510
7083,00100360,510
7082,00101830,510
7081,00102799,509
7080,00100089,509
7079,00100887,508
7078,00104177,507
7077,00104409,506
7076,00100615,506
7075,00103800,506
7074,00100414,506
7073,00100089,506
7072,00100641,506
7071,00102121,506
7070,00101677,506
7069,00103030,506
7068,00102749,506
7067,00101373,506
7066,00103180,506
7065,00100442,506
7064,00103828,506
7063,00101017,506
7062,00100564,506
7061,00100331,506
7060,00103918,505
7059,00103800,505
7058,00100414,505
7057,00103537,505
7056,00102121,505
7055,00104756,505
7054,00103439,505
7053,00100061,505
7052,00100164,505
7051,00101934,504
7050,00102121,504
7049,00103548,504
7048,00105210,504
7047,00103180,504
7046,00102133,504
7045,00103800,504
7044,00102218,504
7043,00102242,504
7042,00100442,504
7041,00104054,504
7040,00102789,504
7039,00103407,504
7038,00100269,504
7037,00101973,504
7036,00101815,504
7035,00104756,504
7034,00104177,504
7033,00100164,504
7032,00102854,504
7031,00100615,504
7030,00102799,504
7029,00100879,504
7028,00103800,503
7027,00103947,503
7026,00101168,503
7025,00104177,503
7024,00104054,503
7023,00102440,503
7022,00101017,503
7021,00104826,503
7020,00101567,503
7019,00102932,502
7018,00101373,502
7017,00105210,502
7016,00102440,502
7015,00101567,502
7014,00104203,502
7013,00103800,502
7012,00102218,502
7011,00102528,502
7010,00102242,502
7009,00101168,502
7008,00100442,502
7007,00104054,502
7006,00103407,502
7005,00101673,502
7004,00100269,502
7003,00101973,502
7002,00101815,502
7001,00100414,502
7000,00100360,502
6999,00104756,502
6998,00103439,502
6997,00104177,502
6996,00103828,502
6995,00100331,502
6994,00102799,502
6993,00100564,502
6992,00100887,502
6991,00101131,502
6990,00103251,502
6989,00100879,502
6988,00103800,501
6987,00100564,501
6986,00103251,501
6985,00104054,501
6984,00100442,501
6983,00100879,501
6982,00103828,501
6981,00104177,501
6980,00101567,501
6979,00104734,500
6978,00105020,500
6977,00101299,499
6976,00101230,498
6975,00103571,498
6974,00103181,498
6973,00100537,498
6972,00101663,497
6971,00103632,497
6970,00101063,497
6969,00104049,496
6968,00104662,496
6967,00101063,496
6966,00104033,496
6965,00105074,496
6964,00104714,496
6963,00104134,496
6962,00102547,496
6961,00105085,496
6960,00100527,496
6959,00100148,496
6958,00104355,495
6957,00104584,495
6956,00102155,495
6955,00104814,495
6954,00101216,495
6953,00102680,495
6952,00102122,495
6951,00101991,495
6950,00104223,495
6949,00103223,495
6948,00101600,495
6947,00101712,495
6946,00100429,495
6945,00104139,495
6944,00101916,495
6943,00100032,495
6942,00103603,495
6941,00102361,495
6940,00102796,495
6939,00100036,494
6938,00101460,494
6937,00101110,494
6936,00101503,494
6935,00102388,494
6934,00100527,494
6933,00101094,493
6932,00104191,493
6931,00103223,493
6930,00103582,493
6929,00100429,493
6928,00100964,493
6927,00104151,492
6926,00104714,492
6925,00101835,492
6924,00100964,492
6923,00103098,492
6922,00104814,492
6921,00102947,492
6920,00100537,492
6919,00102680,492
6918,00101412,492
6917,00104616,492
6916,00104768,492
6915,00101113,492
6914,00100615,492
6913,00100032,492
6912,00104537,492
6911,00101400,492
6910,00100148,492
6909,00101476,492
6908,00102796,492
6907,00103663,491
6906,00100615,491
6905,00102256,491
6904,00103223,491
6903,00103181,491
6902,00104714,491
6901,00104616,491
6900,00100647,491
6899,00100104,491
6898,00100477,491
6897,00101991,491
6896,00103609,489
6895,00100615,489
6894,00101299,489
6893,00104101,489
6892,00101712,489
6891,00103054,489
6890,00102388,489
6889,00105020,489
6888,00100558,489
6887,00102384,489
6886,00101994,489
6885,00102202,489
6884,00100527,489
6883,00102796,489
6882,00101917,489
6881,00101663,488
6880,00104151,488
6879,00103413,488
6878,00104078,488
6877,00103193,488
6876,00100342,488
6875,00100104,488
6874,00100802,488
6873,00101917,488
6872,00103048,488
6871,00104101,488
6870,00101216,488
6869,00100451,488
6868,00100343,488
6867,00102202,488
6866,00100558,488
6865,00103654,488
6864,00102680,488
6863,00101412,488
6862,00102122,488
6861,00103851,488
6860,00103663,488
6859,00101600,488
6858,00100233,488
6857,00101712,488
6856,00105173,488
6855,00104177,488
6854,00101599,488
6853,00101460,488
6852,00104191,488
6851,00103582,488
6850,00105085,488
6849,00100527,488
6848,00103646,487
6847,00104049,487
6846,00101411,487
6845,00103865,487
6844,00103098,487
6843,00104698,487
6842,00104714,487
6841,00103181,487
6840,00102947,487
6839,00103571,487
6838,00100451,487
6837,00100914,487
6836,00105173,487
6835,00101891,487
6834,00101994,487
6833,00100342,487
6832,00100148,487
6831,00103609,486
6830,00103413,486
6829,00104078,486
6828,00104698,486
6827,00101663,486
6826,00101891,486
6825,00104274,486
6824,00102155,486
6823,00100343,486
6822,00102944,486
6821,00101412,486
6820,00105195,486
6819,00102122,486
6818,00103646,486
6817,00101110,486
6816,00101403,486
6815,00104049,486
6814,00104647,486
6813,00104033,486
6812,00100914,486
6811,00101960,486
6810,00102384,486
6809,00105085,486
6808,00101994,486
6807,00103609,485
6806,00101017,485
6805,00102256,485
6804,00104698,485
6803,00100415,485
6802,00101891,485
6801,00101835,485
6800,00100342,485
6799,00104415,485
6798,00103181,485
6797,00100558,485
6796,00103654,485
6795,00102122,485
6794,00103646,485
6793,00104342,485
6792,00100233,485
6791,00101403,485
6790,00105173,485
6789,00104768,485
6788,00101599,485
6787,00104734,485
6786,00101460,485
6785,00100032,485
6784,00103582,485
6783,00101994,485
6782,00101194,485
6781,00100382,484
6780,00104698,484
6779,00104078,484
6778,00103193,484
6777,00100415,484
6776,00104714,484
6775,00101891,484
6774,00104274,484
6773,00101835,484
6772,00104415,484
6771,00105074,484
6770,00101412,484
6769,00103610,484
6768,00103646,484
6767,00105194,484
6766,00103663,484
6765,00101859,484
6764,00104342,484
6763,00105173,484
6762,00104033,484
6761,00103582,484
6760,00102384,484
6759,00103609,483
6758,00101411,483
6757,00100973,483
6756,00104078,483
6755,00103193,483
6754,00104698,483
6753,00101216,483
6752,00101891,483
6751,00102944,483
6750,00100342,483
6749,00100849,483
6748,00103609,482
6747,00100382,482
6746,00102256,482
6745,00104698,482
6744,00103193,482
6743,00104714,482
6742,00101891,482
6741,00104274,482
6740,00101216,482
6739,00102944,482
6738,00100558,482
6737,00103654,482
6736,00101412,482
6735,00103610,482
6734,00103646,482
6733,00103663,482
6732,00104342,482
6731,00104616,482
6730,00105173,482
6729,00104768,482
6728,00104734,482
6727,00100914,482
6726,00102384,482
6725,00105085,482
6724,00100849,482
6723,00100527,482
6722,00101916,481
6721,00104219,481
6720,00105012,481
6719,00104623,481
6718,00102777,481
6717,00105044,481
6716,00102290,481
6715,00100825,481
6714,00104743,481
6713,00100704,481
6712,00101372,481
6711,00101901,481
6710,00103572,481
6709,00101475,481
6708,00100719,481
6707,00101849,481
6706,00101715,481
6705,00101320,480
6704,00100241,480
6703,00100163,480
6702,00102290,480
6701,00104592,480
6700,00104743,480
6699,00103539,480
6698,00104897,480
6697,00102202,480
6696,00100376,480
6695,00101509,480
6694,00103303,480
6693,00101936,479
6692,00102079,479
6691,00100396,479
6690,00102052,479
6689,00104503,479
6688,00104743,479
6687,00104194,479
6686,00101372,479
6685,00102202,479
6684,00103890,479
6683,00101936,478
6682,00105044,478
6681,00100825,478
6680,00103146,478
6679,00102318,478
6678,00101522,478
6677,00105012,478
6676,00104623,478
6675,00100396,478
6674,00101061,478
6673,00101100,478
6672,00104592,478
6671,00103905,478
6670,00100812,478
6669,00101851,478
6668,00102290,478
6667,00104194,478
6666,00104822,478
6665,00101901,478
6664,00104407,478
6663,00101522,477
6662,00100825,477
6661,00101372,477
6660,00100296,477
6659,00100525,477
6658,00102318,477
6657,00103890,477
6656,00101715,477
6655,00104219,476
6654,00103153,476
6653,00103146,476
6652,00102111,476
6651,00102318,476
6650,00104623,476
6649,00104233,476
6648,00101061,476
6647,00104749,476
6646,00100163,476
6645,00104592,476
6644,00105185,476
6643,00102204,476
6642,00101715,476
6641,00102163,476
6640,00101851,476
6639,00102290,476
6638,00103539,476
6637,00102037,476
6636,00101522,475
6635,00104623,475
6634,00100241,475
6633,00103382,475
6632,00100396,475
6631,00103265,475
6630,00101851,475
6629,00102290,475
6628,00100704,475
6627,00104194,475
6626,00102111,475
6625,00104897,475
6624,00101061,475
6623,00100525,475
6622,00103890,475
6621,00104297,475
6620,00101715,475
6619,00103503,474
6618,00103153,474
6617,00103146,474
6616,00102111,474
6615,00101936,474
6614,00101522,474
6613,00104623,474
6612,00100241,474
6611,00100163,474
6610,00105185,474
6609,00104297,474
6608,00101715,474
6607,00101851,474
6606,00102290,474
6605,00104503,474
6604,00104194,474
6603,00100704,474
6602,00103539,474
6601,00100525,474
6600,00102037,474
6599,00100582,473
6598,00102223,473
6597,00103552,472
6596,00101885,472
6595,00100803,471
6594,00101466,471
6593,00102929,471
6592,00101478,470
6591,00100582,470
6590,00102766,470
6589,00102799,470
6588,00102266,470
6587,00104405,470
6586,00101012,470
6585,00101885,470
6584,00103522,470
6583,00105198,469
6582,00104945,469
6581,00104186,469
6580,00103927,469
6579,00104453,469
6578,00104595,469
6577,00104521,469
6576,00102752,469
6575,00101459,469
6574,00103522,469
6573,00104410,468
6572,00104945,468
6571,00103927,468
6570,00103648,468
6569,00105205,468
6568,00104521,468
6567,00101553,468
6566,00101319,467
6565,00103135,467
6564,00104405,467
6563,00102223,467
6562,00102799,467
6561,00103188,467
6560,00101189,467
6559,00104740,467
6558,00103927,467
6557,00101283,467
6556,00102370,467
6555,00100307,467
6554,00101386,467
6553,00102929,467
6552,00104674,467
6551,00104521,467
6550,00103522,467
6549,00100735,467
6548,00103851,466
6547,00103773,466
6546,00100687,466
6545,00103118,466
6544,00103380,466
