id,club,name,date,time,description,image
514,45,Meet & Greet with Student,2026-06-07,14:30:00,A great opportunity for students to engage with Student Physical Therapist Assistant Club (SPTA).,defaultevent.png
513,45,Community Outreach with Student,2026-05-26,14:30:00,A great opportunity for students to engage with Student Physical Therapist Assistant Club (SPTA).,defaultevent.png
512,45,Community Outreach with Student,2026-05-24,16:30:00,A great opportunity for students to engage with Student Physical Therapist Assistant Club (SPTA).,defaultevent.png
511,45,Study Session with Student,2026-04-15,18:30:00,A great opportunity for students to engage with Student Physical Therapist Assistant Club (SPTA).,defaultevent.png
510,45,Meet & Greet with Student,2026-04-11,11:00:00,A great opportunity for students to engage with Student Physical Therapist Assistant Club (SPTA).,defaultevent.png
509,45,Meet & Greet with Student,2026-04-07,10:00:00,A great opportunity for students to engage with Student Physical Therapist Assistant Club (SPTA).,defaultevent.png
508,45,Meet & Greet with Student,2026-03-25,11:30:00,A great opportunity for students to engage with Student Physical Therapist Assistant Club (SPTA).,defaultevent.png
507,45,Community Outreach with Student,2025-11-28,13:30:00,A great opportunity for students to engage with Student Physical Therapist Assistant Club (SPTA).,defaultevent.png
506,45,Meet & Greet with Student,2025-07-26,10:30:00,A great opportunity for students to engage with Student Physical Therapist Assistant Club (SPTA).,defaultevent.png
505,45,Community Outreach with Student,2025-04-26,16:30:00,A great opportunity for students to engage with Student Physical Therapist Assistant Club (SPTA).,defaultevent.png
504,45,Guest Lecture with Student,2025-02-26,17:30:00,A great opportunity for students to engage with Student Physical Therapist Assistant Club (SPTA).,defaultevent.png
503,45,Fundraiser with Student,2024-07-23,10:30:00,A great opportunity for students to engage with Student Physical Therapist Assistant Club (SPTA).,defaultevent.png
502,45,Social with Student,2023-09-15,12:00:00,A great opportunity for students to engage with Student Physical Therapist Assistant Club (SPTA).,defaultevent.png
501,45,Fundraiser with Student,2022-06-27,10:30:00,A great opportunity for students to engage with Student Physical Therapist Assistant Club (SPTA).,defaultevent.png
500,44,Hackathon with Student,2026-01-26,17:00:00,A great opportunity for students to engage with Student Occupational Therapy Assistant Club (SOTA).,defaultevent.png
499,44,Hackathon with Student,2026-01-03,10:00:00,A great opportunity for students to engage with Student Occupational Therapy Assistant Club (SOTA).,defaultevent.png
498,44,Meet & Greet with Student,2025-12-25,10:30:00,A great opportunity for students to engage with Student Occupational Therapy Assistant Club (SOTA).,defaultevent.png
497,44,Workshop with Student,2025-10-24,12:30:00,A great opportunity for students to engage with Student Occupational Therapy Assistant Club (SOTA).,defaultevent.png
496,44,Workshop with Student,2025-10-07,14:30:00,A great opportunity for students to engage with Student Occupational Therapy Assistant Club (SOTA).,defaultevent.png
495,44,Workshop with Student,2025-09-04,14:00:00,A great opportunity for students to engage with Student Occupational Therapy Assistant Club (SOTA).,defaultevent.png
494,44,Community Outreach with Student,2025-08-13,13:30:00,A great opportunity for students to engage with Student Occupational Therapy Assistant Club (SOTA).,defaultevent.png
493,44,Study Session with Student,2025-07-22,17:00:00,A great opportunity for students to engage with Student Occupational Therapy Assistant Club (SOTA).,defaultevent.png
492,44,Community Outreach with Student,2025-03-05,15:30:00,A great opportunity for students to engage with Student Occupational Therapy Assistant Club (SOTA).,defaultevent.png
491,44,Study Session with Student,2024-11-14,14:30:00,A great opportunity for students to engage with Student Occupational Therapy Assistant Club (SOTA).,defaultevent.png
490,44,Community Outreach with Student,2024-06-12,17:00:00,A great opportunity for students to engage with Student Occupational Therapy Assistant Club (SOTA).,defaultevent.png
489,44,Meet & Greet with Student,2024-03-02,11:00:00,A great opportunity for students to engage with Student Occupational Therapy Assistant Club (SOTA).,defaultevent.png
488,44,Hackathon with Student,2024-01-12,12:30:00,A great opportunity for students to engage with Student Occupational Therapy Assistant Club (SOTA).,defaultevent.png
487,44,Social with Student,2023-11-02,18:00:00,A great opportunity for students to engage with Student Occupational Therapy Assistant Club (SOTA).,defaultevent.png
486,44,Fundraiser with Student,2023-08-10,13:30:00,A great opportunity for students to engage with Student Occupational Therapy Assistant Club (SOTA).,defaultevent.png
485,44,Guest Lecture with Student,2023-02-12,17:00:00,A great opportunity for students to engage with Student Occupational Therapy Assistant Club (SOTA).,defaultevent.png
484,44,Speaker Night with Student,2022-08-28,11:30:00,A great opportunity for students to engage with Student Occupational Therapy Assistant Club (SOTA).,defaultevent.png
483,44,Guest Lecture with Student,2022-05-25,16:30:00,A great opportunity for students to engage with Student Occupational Therapy Assistant Club (SOTA).,defaultevent.png
482,44,Workshop with Student,2022-05-01,10:00:00,A great opportunity for students to engage with Student Occupational Therapy Assistant Club (SOTA).,defaultevent.png
481,43,Hackathon with Student,2025-02-22,11:00:00,A great opportunity for students to engage with Student Nurse Association (SNA).,defaultevent.png
480,43,Speaker Night with Student,2024-12-08,18:00:00,A great opportunity for students to engage with Student Nurse Association (SNA).,defaultevent.png
479,43,Game Night with Student,2024-09-15,17:30:00,A great opportunity for students to engage with Student Nurse Association (SNA).,defaultevent.png
478,43,Fundraiser with Student,2024-08-23,18:00:00,A great opportunity for students to engage with Student Nurse Association (SNA).,defaultevent.png
477,43,Hackathon with Student,2024-01-24,12:30:00,A great opportunity for students to engage with Student Nurse Association (SNA).,defaultevent.png
476,43,Workshop with Student,2023-07-09,10:00:00,A great opportunity for students to engage with Student Nurse Association (SNA).,defaultevent.png
475,43,Study Session with Student,2023-02-04,17:00:00,A great opportunity for students to engage with Student Nurse Association (SNA).,defaultevent.png
474,43,Hackathon with Student,2022-10-06,18:00:00,A great opportunity for students to engage with Student Nurse Association (SNA).,defaultevent.png
473,42,Hackathon with Student,2026-06-22,14:00:00,A great opportunity for students to engage with Student Health Information Management Association (SHIMA).,defaultevent.png
472,42,Guest Lecture with Student,2026-04-19,12:30:00,A great opportunity for students to engage with Student Health Information Management Association (SHIMA).,defaultevent.png
471,42,Study Session with Student,2026-01-29,15:30:00,A great opportunity for students to engage with Student Health Information Management Association (SHIMA).,defaultevent.png
470,42,Workshop with Student,2025-10-24,11:00:00,A great opportunity for students to engage with Student Health Information Management Association (SHIMA).,defaultevent.png
469,42,Fundraiser with Student,2025-10-19,13:30:00,A great opportunity for students to engage with Student Health Information Management Association (SHIMA).,defaultevent.png
468,42,Meet & Greet with Student,2025-09-22,11:30:00,A great opportunity for students to engage with Student Health Information Management Association (SHIMA).,defaultevent.png
467,42,Game Night with Student,2025-07-08,17:30:00,A great opportunity for students to engage with Student Health Information Management Association (SHIMA).,defaultevent.png
466,42,Workshop with Student,2025-02-04,15:00:00,A great opportunity for students to engage with Student Health Information Management Association (SHIMA).,defaultevent.png
465,42,Community Outreach with Student,2024-08-24,10:00:00,A great opportunity for students to engage with Student Health Information Management Association (SHIMA).,defaultevent.png
464,42,Community Outreach with Student,2024-07-02,12:30:00,A great opportunity for students to engage with Student Health Information Management Association (SHIMA).,defaultevent.png
463,42,Study Session with Student,2024-05-10,15:30:00,A great opportunity for students to engage with Student Health Information Management Association (SHIMA).,defaultevent.png
462,42,Game Night with Student,2023-09-12,11:30:00,A great opportunity for students to engage with Student Health Information Management Association (SHIMA).,defaultevent.png
461,42,Fundraiser with Student,2023-06-15,14:00:00,A great opportunity for students to engage with Student Health Information Management Association (SHIMA).,defaultevent.png
460,42,Community Outreach with Student,2023-04-10,10:30:00,A great opportunity for students to engage with Student Health Information Management Association (SHIMA).,defaultevent.png
459,42,Game Night with Student,2023-03-30,15:00:00,A great opportunity for students to engage with Student Health Information Management Association (SHIMA).,defaultevent.png
458,42,Hackathon with Student,2023-03-05,16:30:00,A great opportunity for students to engage with Student Health Information Management Association (SHIMA).,defaultevent.png
457,42,Game Night with Student,2022-11-06,11:30:00,A great opportunity for students to engage with Student Health Information Management Association (SHIMA).,defaultevent.png
456,42,Game Night with Student,2022-09-27,16:00:00,A great opportunity for students to engage with Student Health Information Management Association (SHIMA).,defaultevent.png
455,42,Fundraiser with Student,2022-05-24,15:30:00,A great opportunity for students to engage with Student Health Information Management Association (SHIMA).,defaultevent.png
454,41,Social with Student,2026-04-05,14:00:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
453,41,Speaker Night with Student,2026-02-18,12:00:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
452,41,Fundraiser with Student,2026-01-28,12:30:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
451,41,Social with Student,2025-12-16,11:00:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
450,41,Speaker Night with Student,2025-12-15,16:30:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
449,41,Hackathon with Student,2025-10-28,15:00:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
448,41,Meet & Greet with Student,2025-10-26,10:30:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
447,41,Meet & Greet with Student,2025-05-22,17:00:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
446,41,Guest Lecture with Student,2025-01-21,15:30:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
445,41,Community Outreach with Student,2025-01-17,10:00:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
444,41,Study Session with Student,2024-12-28,13:00:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
443,41,Meet & Greet with Student,2024-11-11,15:00:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
442,41,Meet & Greet with Student,2024-08-15,12:00:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
441,41,Meet & Greet with Student,2024-06-26,14:00:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
440,41,Community Outreach with Student,2024-04-05,10:00:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
439,41,Guest Lecture with Student,2024-02-17,15:30:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
438,41,Study Session with Student,2024-01-04,17:00:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
437,41,Game Night with Student,2023-10-16,12:00:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
436,41,Speaker Night with Student,2023-10-11,12:00:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
435,41,Fundraiser with Student,2023-09-18,12:30:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
434,41,Guest Lecture with Student,2023-08-28,17:00:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
433,41,Speaker Night with Student,2023-08-16,16:00:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
432,41,Study Session with Student,2023-07-31,17:30:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
431,41,Community Outreach with Student,2023-03-10,14:30:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
430,41,Community Outreach with Student,2023-02-03,13:30:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
429,41,Guest Lecture with Student,2022-07-17,16:00:00,A great opportunity for students to engage with Student Government Association/InterClub Council.,defaultevent.png
428,40,Fundraiser with Student,2025-07-25,18:30:00,A great opportunity for students to engage with Student American Dental Hygienist Association (SADHA).,defaultevent.png
427,40,Workshop with Student,2025-05-02,18:30:00,A great opportunity for students to engage with Student American Dental Hygienist Association (SADHA).,defaultevent.png
426,40,Social with Student,2025-01-09,18:00:00,A great opportunity for students to engage with Student American Dental Hygienist Association (SADHA).,defaultevent.png
425,40,Workshop with Student,2024-09-09,14:00:00,A great opportunity for students to engage with Student American Dental Hygienist Association (SADHA).,defaultevent.png
424,40,Guest Lecture with Student,2024-08-30,11:00:00,A great opportunity for students to engage with Student American Dental Hygienist Association (SADHA).,defaultevent.png
423,40,Social with Student,2024-05-19,18:00:00,A great opportunity for students to engage with Student American Dental Hygienist Association (SADHA).,defaultevent.png
422,40,Hackathon with Student,2024-01-28,13:30:00,A great opportunity for students to engage with Student American Dental Hygienist Association (SADHA).,defaultevent.png
421,40,Meet & Greet with Student,2023-08-12,10:30:00,A great opportunity for students to engage with Student American Dental Hygienist Association (SADHA).,defaultevent.png
420,40,Community Outreach with Student,2023-05-18,10:00:00,A great opportunity for students to engage with Student American Dental Hygienist Association (SADHA).,defaultevent.png
419,39,Fundraiser with Student,2026-06-05,11:00:00,A great opportunity for students to engage with Student Ambassador Program.,defaultevent.png
418,39,Meet & Greet with Student,2026-04-13,11:00:00,A great opportunity for students to engage with Student Ambassador Program.,defaultevent.png
417,39,Guest Lecture with Student,2025-12-14,14:30:00,A great opportunity for students to engage with Student Ambassador Program.,defaultevent.png
416,39,Study Session with Student,2025-10-15,10:30:00,A great opportunity for students to engage with Student Ambassador Program.,defaultevent.png
415,39,Meet & Greet with Student,2025-09-10,14:00:00,A great opportunity for students to engage with Student Ambassador Program.,defaultevent.png
414,39,Hackathon with Student,2025-07-28,14:30:00,A great opportunity for students to engage with Student Ambassador Program.,defaultevent.png
413,39,Speaker Night with Student,2025-06-06,18:00:00,A great opportunity for students to engage with Student Ambassador Program.,defaultevent.png
412,39,Game Night with Student,2025-04-11,11:00:00,A great opportunity for students to engage with Student Ambassador Program.,defaultevent.png
411,39,Hackathon with Student,2025-03-16,15:30:00,A great opportunity for students to engage with Student Ambassador Program.,defaultevent.png
410,39,Workshop with Student,2025-02-12,18:30:00,A great opportunity for students to engage with Student Ambassador Program.,defaultevent.png
409,39,Study Session with Student,2025-01-22,15:00:00,A great opportunity for students to engage with Student Ambassador Program.,defaultevent.png
408,39,Guest Lecture with Student,2024-12-25,12:30:00,A great opportunity for students to engage with Student Ambassador Program.,defaultevent.png
407,39,Game Night with Student,2024-08-24,16:00:00,A great opportunity for students to engage with Student Ambassador Program.,defaultevent.png
406,39,Community Outreach with Student,2024-05-01,10:30:00,A great opportunity for students to engage with Student Ambassador Program.,defaultevent.png
405,39,Workshop with Student,2024-03-29,11:30:00,A great opportunity for students to engage with Student Ambassador Program.,defaultevent.png
404,39,Study Session with Student,2023-12-18,11:00:00,A great opportunity for students to engage with Student Ambassador Program.,defaultevent.png
403,39,Game Night with Student,2023-06-28,16:30:00,A great opportunity for students to engage with Student Ambassador Program.,defaultevent.png
402,38,Game Night with Stark,2025-11-29,13:00:00,A great opportunity for students to engage with Stark Voices â€“ Student Publication/Newspaper.,defaultevent.png
401,38,Fundraiser with Stark,2025-06-06,11:00:00,A great opportunity for students to engage with Stark Voices â€“ Student Publication/Newspaper.,defaultevent.png
400,38,Study Session with Stark,2025-03-14,18:30:00,A great opportunity for students to engage with Stark Voices â€“ Student Publication/Newspaper.,defaultevent.png
399,38,Study Session with Stark,2024-12-01,15:00:00,A great opportunity for students to engage with Stark Voices â€“ Student Publication/Newspaper.,defaultevent.png
398,38,Study Session with Stark,2024-09-17,12:30:00,A great opportunity for students to engage with Stark Voices â€“ Student Publication/Newspaper.,defaultevent.png
397,38,Study Session with Stark,2024-07-09,18:00:00,A great opportunity for students to engage with Stark Voices â€“ Student Publication/Newspaper.,defaultevent.png
396,38,Guest Lecture with Stark,2024-05-16,10:00:00,A great opportunity for students to engage with Stark Voices â€“ Student Publication/Newspaper.,defaultevent.png
395,38,Community Outreach with Stark,2024-03-13,13:30:00,A great opportunity for students to engage with Stark Voices â€“ Student Publication/Newspaper.,defaultevent.png
394,38,Meet & Greet with Stark,2023-11-11,18:00:00,A great opportunity for students to engage with Stark Voices â€“ Student Publication/Newspaper.,defaultevent.png
393,38,Hackathon with Stark,2023-10-10,15:00:00,A great opportunity for students to engage with Stark Voices â€“ Student Publication/Newspaper.,defaultevent.png
392,38,Social with Stark,2023-09-02,12:30:00,A great opportunity for students to engage with Stark Voices â€“ Student Publication/Newspaper.,defaultevent.png
391,38,Fundraiser with Stark,2023-07-09,11:30:00,A great opportunity for students to engage with Stark Voices â€“ Student Publication/Newspaper.,defaultevent.png
390,38,Meet & Greet with Stark,2023-01-08,10:30:00,A great opportunity for students to engage with Stark Voices â€“ Student Publication/Newspaper.,defaultevent.png
389,38,Workshop with Stark,2022-07-20,12:00:00,A great opportunity for students to engage with Stark Voices â€“ Student Publication/Newspaper.,defaultevent.png
388,38,Social with Stark,2022-03-16,18:30:00,A great opportunity for students to engage with Stark Voices â€“ Student Publication/Newspaper.,defaultevent.png
387,37,Meet & Greet with Stark,2026-04-19,16:30:00,A great opportunity for students to engage with Stark State College Association of Medical Assistants.,defaultevent.png
386,37,Social with Stark,2026-03-03,17:30:00,A great opportunity for students to engage with Stark State College Association of Medical Assistants.,defaultevent.png
385,37,Game Night with Stark,2026-02-14,18:30:00,A great opportunity for students to engage with Stark State College Association of Medical Assistants.,defaultevent.png
384,37,Speaker Night with Stark,2025-12-11,16:00:00,A great opportunity for students to engage with Stark State College Association of Medical Assistants.,defaultevent.png
383,37,Workshop with Stark,2025-11-11,12:30:00,A great opportunity for students to engage with Stark State College Association of Medical Assistants.,defaultevent.png
382,37,Game Night with Stark,2025-10-01,12:30:00,A great opportunity for students to engage with Stark State College Association of Medical Assistants.,defaultevent.png
381,37,Speaker Night with Stark,2025-07-25,10:00:00,A great opportunity for students to engage with Stark State College Association of Medical Assistants.,defaultevent.png
